,Sno,Candidate,Constituency,Party,Criminal_Case,Education,Assets,Apprx_Assets,Total_Liabilities,Apprx_Liabilities
467,467,Indra Hang Subba,SIKKIM,Sikkim Krantikari Morcha,0,Post Graduate,478817, 4 Lacs+,0,  
468,468,Rajdeep Roy,SILCHAR,BJP,0,Post Graduate,29901767, 2 Crore+,6976701, 69 Lacs+ 
469,469,Geeta Kora,SINGHBHUM,INC, 1 ,Post Graduate,25249018, 2 Crore+,1928508, 19 Lacs+ 
470,470,Sunita Duggal,SIRSA,BJP,0,Post Graduate,0,,2500000, 25 Lacs+ 
471,471,Sunil Kumar,SITAMARHI,JD(U), 6 ,Graduate,60717031, 6 Crore+,10277790, 1 Crore+ 
472,472,Rajesh Verma,SITAPUR,BJP, 1 ,Post Graduate,73129716, 7 Crore+,108148, 1 Lacs+ 
473,473,Karti P Chidambaram,SIVAGANGA,INC, 8 ,Graduate Professional,793729024, 79 Crore+,174081116, 17 Crore+ 
474,474,Kavita Singh,SIWAN,JD(U), 4 ,Post Graduate,19325264, 1 Crore+,412511, 4 Lacs+ 
475,475,Shri. Sha. Bra. Dr. Jay Siddeshwar Shivachrya Mahaswamiji,SOLAPUR,BJP,0,Graduate,27870079, 2 Crore+,0,  
476,476,Ramesh Chander Kaushik,SONIPAT,BJP,0,Graduate Professional,235859266, 23 Crore+,0,  
477,477,Ramesh Bidhuri,SOUTH DELHI,BJP, 2 ,Graduate Professional,180052708, 18 Crore+,2038454, 20 Lacs+ 
478,478,Cosme Francisco Caitano Sardinha,SOUTH GOA,INC,0,Graduate Professional,79402232, 7 Crore+,0,  
479,479,Kalyan Banerjee,SREERAMPUR,AITC,0,Graduate Professional,175968902, 17 Crore+,5522403, 55 Lacs+ 
480,480,Rammohannaidu Kinjarapu,SRIKAKULAM,TDP, 1 ,Post Graduate,0,,12000000, 1 Crore+ 
481,481,Farooq Abdullah,SRINAGAR,Jammu & Kashmir National Conference, 1 ,Graduate Professional,121904435, 12 Crore+,0,  
482,482,Baalu.T.R.,SRIPERUMBUDUR,DMK,0,Graduate,208806446, 20 Crore+,0,  
483,483,Maneka Sanjay Gandhi,SULTANPUR,BJP,0,12th Pass,556926451, 55 Crore+,11935800, 1 Crore+ 
484,484,Jual Oram,SUNDARGARH,BJP, 2 ,Others,74185014, 7 Crore+,12743330, 1 Crore+ 
485,485,Dileshwar Kamait,SUPAUL,JD(U), 2 ,Graduate,23441606, 2 Crore+,0,  
486,486,Jardosh Darshnaben Vikrambhai,SURAT,BJP,0,Graduate,23872876, 2 Crore+,0,  
487,487,Mahendrabhai Munjpara,SURENDRANAGAR,BJP,0,Post Graduate,79084513, 7 Crore+,14822528, 1 Crore+ 
488,488,Renuka Singh Saruta,SURGUJA,BJP,0,12th Pass,27682493, 2 Crore+,3251275, 32 Lacs+ 
489,489,Dibyendu Adhikari,TAMLUK,AITC, 1 ,Graduate,37687867, 3 Crore+,8397501, 83 Lacs+ 
490,490,Mala Rajya Laxmi Shah,TEHRI GARHWAL,BJP,0,12th Pass,0,,1350000000, 135 Crore+ 
491,491,Dhanush M Kumar,TENKASI,DMK, 1 ,Post Graduate,51360700, 5 Crore+,2896862, 28 Lacs+ 
492,492,Pallab Lochan Das,TEZPUR,BJP,0,Graduate,14445139, 1 Crore+,0,  
493,493,Rajan Baburao Vichare,THANE,Shiv Sena (Uddhav Balasaheb Thackeray), 9 ,12th Pass,181441465, 18 Crore+,54080733, 5 Crore+ 
494,494,Palanimanickam.S.S,THANJAVUR,DMK,0,Graduate Professional,42452076, 4 Crore+,2368600, 23 Lacs+ 
495,495,P. Raveendranath Kumar,THENI,AIADMK,0,Post Graduate,65803231, 6 Crore+,32734079, 3 Crore+ 
496,496,Shashi Tharoor,THIRUVANANTHAPURAM,INC, 2 ,Doctorate,350022585, 35 Crore+,0,  
497,497,Kanimozhi Karunanidhi,THOOTHUKKUDI,DMK, 6 ,Graduate Professional,303373130, 30 Crore+,19290928, 1 Crore+ 
498,498,T. N. Prathapan,THRISSUR,INC, 7 ,12th Pass,8609349, 86 Lacs+,2978120, 29 Lacs+ 
499,499,Virendra Kumar,TIKAMGARH,BJP,0,Doctorate,21503766, 2 Crore+,1974216, 19 Lacs+ 
500,500,Thirunavukkarasar. Su,TIRUCHIRAPPALLI,INC,0,Post Graduate,0,,40208, 40 Thou+ 
501,501,Gnanathiraviam S,TIRUNELVELI,DMK, 4 ,10th Pass,232759237, 23 Crore+,46149049, 4 Crore+ 
502,502,Balli Durgaprasad Rao,TIRUPATI,YSRCP,0,Graduate Professional,17426921, 1 Crore+,0,  
503,503,Subbarayan.K,TIRUPPUR,CPI,0,10th Pass,8035576, 80 Lacs+,500000, 5 Lacs+ 
504,504,Dr.K.Jayakumar,TIRUVALLUR,INC,0,Doctorate,24583769, 2 Crore+,0,  
505,505,Annadurai C N,TIRUVANNAMALAI,DMK,0,Graduate,134897466, 13 Crore+,32243604, 3 Crore+ 
506,506,Sukhbir Singh Jaunapuria,TONK SAWAI MADHOPUR,BJP,0,12th Pass,1233802420, 123 Crore+,0,  
507,507,Rebati Tripura,TRIPURA EAST,BJP,0,Post Graduate,1948315, 19 Lacs+,0,  
508,508,Pratima Bhoumik,TRIPURA WEST,BJP,0,Graduate,642398, 6 Lacs+,0,  
509,509,G S Basavaraj,TUMKUR,BJP,0,Graduate Professional,510779150, 51 Crore+,113844867, 11 Crore+ 
510,510,Agatha K. Sangma,TURA,NPP,0,Post Graduate,0,,0,  
511,511,Arjunlal Meena,UDAIPUR,BJP,0,Post Graduate,48196946, 4 Crore+,15602872, 1 Crore+ 
512,512,Dr. Jitendra Singh,UDHAMPUR,BJP,0,Post Graduate,70827203, 7 Crore+,0,  
513,513,Shobha Karandlaje,UDUPI CHIKMAGALUR,BJP, 3 ,Post Graduate,104872668, 10 Crore+,49936840, 4 Crore+ 
514,514,Nityanand Rai,UJIARPUR,BJP, 3 ,Graduate,187007570, 18 Crore+,357561, 3 Lacs+ 
515,515,Anil Firojiya,UJJAIN,BJP,0,12th Pass,26417937, 2 Crore+,3203766, 32 Lacs+ 
516,516,Sajda Ahmed,ULUBERIA,AITC,0,Graduate,28351569, 2 Crore+,5322615, 53 Lacs+ 
517,517,Swami Sachchidanand Hari Sakshi,UNNAO,BJP, 4 ,Doctorate,40886941, 4 Crore+,699025, 6 Lacs+ 
518,518,Anantkumar Hegde,UTTARA KANNADA,BJP, 4 ,12th Pass,84755455, 8 Crore+,41016655, 4 Crore+ 
519,519,K. Muraleedharan,VADAKARA,INC, 3 ,Graduate,114379340, 11 Crore+,0,  
520,520,Ranjanben Bhatt,VADODARA,BJP,0,12th Pass,0,,0,  
521,521,Veena Devi,VAISHALI,LJP, 2 ,10th Pass,337284632, 33 Crore+,112089220, 11 Crore+ 
522,522,Baidyanath Prasad Mahto,VALMIKI NAGAR,JD(U), 4 ,10th Pass,17934888, 1 Crore+,2915945, 29 Lacs+ 
523,523,Dr.K.C.Patel,VALSAD,BJP,0,Graduate Professional,68239480, 6 Crore+,0,  
524,524,Narendra Modi,VARANASI,BJP,0,Post Graduate,25136119, 2 Crore+,0,  
525,525,D.M. Kathir Anand,VELLORE,DMK, 2 ,Post Graduate,587579451, 58 Crore+,3307588, 33 Lacs+ 
526,526,Ramakant Bhargava,VIDISHA,BJP,0,12th Pass,30032282, 3 Crore+,3332012, 33 Lacs+ 
527,527,Srinivas Kesineni,VIJAYAWADA,TDP,0,10th Pass,808152415, 80 Crore+,512332955, 51 Crore+ 
528,528,Ravikumar D,VILUPPURAM,DMK,0,Doctorate,6509860, 65 Lacs+,1369031, 13 Lacs+ 
529,529,"Manickam Tagore, B.",VIRUDHUNAGAR,INC, 1 ,Graduate Professional,49705799, 4 Crore+,3600203, 36 Lacs+ 
530,530,M V V Satyanarayana,VISAKHAPATNAM,YSRCP, 1 ,10th Pass,0,,160030959, 16 Crore+ 
531,531,Bellana Chandra Sekhar,VIZIANAGARAM,YSRCP, 4 ,Graduate Professional,21035766, 2 Crore+,11130148, 1 Crore+ 
532,532,Dayakar Pasnori,WARANGAL,TRS,0,Graduate,24889712, 2 Crore+,1428227, 14 Lacs+ 
533,533,Ramdas Chandrabhanji Tadas,WARDHA,BJP,0,10th Pass,65807822, 6 Crore+,8961387, 89 Lacs+ 
534,534,Rahul Gandhi,WAYANAD,INC, 5 ,Post Graduate,158877063, 15 Crore+,7201904, 72 Lacs+ 
535,535,Parvesh Sahib Singh,WEST DELHI,BJP,0,Post Graduate,155195014, 15 Crore+,40097329, 4 Crore+ 
536,536,Bhavana Pundlikrao Gawali,YAVATMAL WASHIM,SHS, 3 ,Graduate,96873189, 9 Crore+,7396250, 73 Lacs+ 
537,537,B.B.Patil,ZAHIRABAD,TRS, 18 ,Graduate,1287851556, 128 Crore+,11535000, 1 Crore+ 
