,Sno,Candidate,Constituency,Party,Criminal_Case,Education,Assets,Apprx_Assets,Total_Liabilities,Apprx_Liabilities
310,310,Sudarshan Bhagat,LOHARDAGA,BJP,0,Graduate,0,,525000, 5 Lacs+ 
311,311,Rajnath Singh,LUCKNOW,BJP,0,Post Graduate,51492709, 5 Crore+,0,  
312,312,Ravneet Singh Bittu,LUDHIANA,INC, 3 ,12th Pass,54281096, 5 Crore+,3331266, 33 Lacs+ 
313,313,Bholanath (B.P. Saroj),MACHHLISHAHR,BJP,0,Graduate,259027394, 25 Crore+,11194163, 1 Crore+ 
314,314,Balashowry Vallabhaneni,MACHILIPATNAM,YSRCP, 2 ,Post Graduate,990575840, 99 Crore+,746310844, 74 Crore+ 
315,315,Ranjeetsinha Hindurao Naik Nimbalkar,MADHA,BJP, 2 ,12th Pass,1275160578, 127 Crore+,896315287, 89 Crore+ 
316,316,Dinesh Chandra Yadav,MADHEPURA,JD(U), 1 ,Graduate Professional,37420953, 3 Crore+,700000, 7 Lacs+ 
317,317,Ashok Kumar Yadav,MADHUBANI,BJP, 1 ,Doctorate,46699125, 4 Crore+,7892847, 78 Lacs+ 
318,318,Venkatesan S,MADURAI,CPI(M),0,12th Pass,1811456, 18 Lacs+,0,  
319,319,Kavitha Malothu,MAHABUBABAD,TRS, 1 ,Graduate,19731269, 1 Crore+,1252068, 12 Lacs+ 
320,320,Janardan Singh Sigriwal,MAHARAJGANJ,BJP, 5 ,Graduate,0,,376000, 3 Lacs+ 
321,321,Pankaj Choudhary,MAHARAJGANJ,BJP, 5 ,12th Pass,371827109, 37 Crore+,4483048, 44 Lacs+ 
322,322,Chunni Lal Sahu,MAHASAMUND,BJP,0,Graduate,17591683, 1 Crore+,1383014, 13 Lacs+ 
323,323,Manne Srinivas Reddy,MAHBUBNAGAR,TRS,0,12th Pass,63353123, 6 Crore+,4569251, 45 Lacs+ 
324,324,Shardaben Anilbhai Patel,MAHESANA,BJP,0,12th Pass,440308300, 44 Crore+,7477793, 74 Lacs+ 
325,325,Mulayam Singh Yadav,MAINPURI,SP, 1 ,Post Graduate,205604593, 20 Crore+,22055657, 2 Crore+ 
326,326,Kunhalikutty,MALAPPURAM,IUML, 2 ,Graduate,52932535, 5 Crore+,0,  
327,327,Abu Hasem Khan Chowdhury,MALDAHA DAKSHIN,INC,0,Doctorate,270959520, 27 Crore+,728107, 7 Lacs+ 
